RUN_UTC=2026-09-05T18:06:40Z
BTTS FAST EXISTING | 2026-09-05 | targets=73 db_fixtures=1575
X | AS Roma vs Atalanta | rank=49.47 raw=33.4 prob=0.453 weak=0.841 cal=0.453 cons=0.532 emp=0.171 maxFTS=0.300 minL5scored=4/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:v291_model_disagreement match=0.86
X | Indy Eleven vs Birmingham Legion | rank=49.32 raw=44.2 prob=0.409 weak=0.776 cal=0.409 cons=0.546 emp=0.450 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:v291_model_disagreement match=0.87
X | Grasshoppers vs FC Zurich | rank=48.92 raw=50.4 prob=0.535 weak=0.587 cal=0.535 cons=0.546 emp=0.500 maxFTS=0.300 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Marsaxlokk vs Mosta | rank=48.56 raw=42.5 prob=0.469 weak=0.587 cal=0.469 cons=0.516 emp=0.500 maxFTS=0.200 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Sarasota Paradise vs Spokane Velocity | rank=47.89 raw=60.3 prob=0.592 weak=0.540 cal=0.592 cons=0.545 emp=0.450 maxFTS=0.300 minL5scored=5/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Futbol Consultants Moravia vs Santa Ana | rank=47.32 raw=61.1 prob=0.591 weak=0.604 cal=0.591 cons=0.574 emp=0.486 maxFTS=0.500 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.71
X | Corpus Christi vs Forward Madison | rank=46.69 raw=49.0 prob=0.472 weak=0.661 cal=0.472 cons=0.534 emp=0.450 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Miramar vs Colón | rank=45.26 raw=42.2 prob=0.463 weak=0.587 cal=0.463 cons=0.504 emp=0.450 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | San Marcos de Arica vs Deportes Copiapo | rank=44.56 raw=49.2 prob=0.500 weak=0.634 cal=0.500 cons=0.537 emp=0.450 maxFTS=0.500 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.71
X | Orange County SC vs Sacramento Republic | rank=44.27 raw=50.1 prob=0.532 weak=0.553 cal=0.532 cons=0.523 emp=0.450 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Novorizontino vs Avai | rank=43.50 raw=46.8 prob=0.413 weak=0.661 cal=0.413 cons=0.497 emp=0.400 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Deportes Santa Cruz vs Union Espanola | rank=42.94 raw=32.6 prob=0.406 weak=0.661 cal=0.406 cons=0.509 emp=0.478 maxFTS=0.500 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Miami FC vs Pittsburgh Riverhounds | rank=42.64 raw=49.2 prob=0.472 weak=0.617 cal=0.472 cons=0.498 emp=0.350 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.81
X | Swansea vs Wrexham | rank=42.53 raw=23.9 prob=0.299 weak=0.661 cal=0.299 cons=0.456 emp=0.450 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Goias vs Fortaleza EC | rank=41.75 raw=49.2 prob=0.471 weak=0.571 cal=0.471 cons=0.492 emp=0.400 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.93
X | Nice vs Le Mans | rank=41.61 raw=40.2 prob=0.425 weak=0.555 cal=0.425 cons=0.485 emp=0.500 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Fort Wayne vs NY Cosmos | rank=41.41 raw=21.8 prob=0.386 weak=0.661 cal=0.386 cons=0.475 emp=0.350 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.88
X | Ceara vs Sport Recife | rank=39.44 raw=35.1 prob=0.332 weak=0.669 cal=0.332 cons=0.468 emp=0.422 maxFTS=0.500 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Cucuta vs Deportivo Pasto | rank=39.10 raw=35.0 prob=0.331 weak=0.648 cal=0.331 cons=0.466 emp=0.450 maxFTS=0.500 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Eldense vs Mallorca | rank=38.25 raw=50.7 prob=0.513 weak=0.553 cal=0.513 cons=0.514 emp=0.450 maxFTS=0.667 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Santa Fe vs Fortaleza FC | rank=37.75 raw=24.9 prob=0.222 weak=0.613 cal=0.222 cons=0.405 emp=0.450 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.77
X | Dynamo Dresden vs VfL Bochum | rank=37.48 raw=35.2 prob=0.294 weak=0.600 cal=0.294 cons=0.409 emp=0.333 maxFTS=0.286 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.88
X | Motor Lublin vs Legia Warszawa | rank=37.37 raw=25.5 prob=0.342 weak=0.532 cal=0.342 cons=0.419 emp=0.393 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.76
X | Cancún vs Cruz Azul Hidalgo | rank=37.16 raw=35.6 prob=0.346 weak=0.528 cal=0.346 cons=0.424 emp=0.417 maxFTS=0.333 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Atlas vs Atlante FC | rank=37.08 raw=21.1 prob=0.330 weak=0.523 cal=0.330 cons=0.415 emp=0.417 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Sporting CP vs Nacional | rank=34.17 raw=37.3 prob=0.414 weak=0.487 cal=0.414 cons=0.437 emp=0.400 maxFTS=0.500 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Olimpija Ljubljana vs Brinje-Grosuplje | rank=33.65 raw=32.7 prob=0.525 weak=0.668 cal=0.525 cons=0.470 emp=0.000 maxFTS=0.667 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.86
X | Las Vegas Lights vs New Mexico United | rank=33.51 raw=35.9 prob=0.358 weak=0.473 cal=0.358 cons=0.388 emp=0.306 maxFTS=0.300 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Chico vs Once Caldas | rank=33.05 raw=31.4 prob=0.420 weak=0.626 cal=0.420 cons=0.441 emp=0.163 maxFTS=0.600 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.79
X | RB Bragantino vs Bahia | rank=32.43 raw=13.9 prob=0.303 weak=0.571 cal=0.303 cons=0.386 emp=0.250 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.93
X | Piratas vs Correcaminos Uat | rank=31.48 raw=38.1 prob=0.485 weak=0.528 cal=0.485 cons=0.420 emp=0.083 maxFTS=0.500 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
